Row,Col,X,Y,Value
6,10,438812.7842527487,3264760.8590573203,308.41885
6,11,438900.0954164447,3264760.8590573203,259.32913
6,12,438987.4065801407,3264760.8590573203,234.53624
6,13,439074.7177438367,3264760.8590573203,254.67899
6,14,439162.0289075327,3264760.8590573203,252.43529
6,15,439249.3400712287,3264760.8590573203,132.83904
6,16,439336.6512349247,3264760.8590573203,147.75522
6,17,439423.9623986207,3264760.8590573203,108.18163
6,18,439511.27356231667,3264760.8590573203,111.67569
6,19,439598.58472601266,3264760.8590573203,114.87766
6,20,439685.89588970866,3264760.8590573203,123.65568
6,21,439773.20705340465,3264760.8590573203,127.01086
6,22,439860.51821710065,3264760.8590573203,108.04253
6,23,439947.82938079664,3264760.8590573203,92.445274
6,24,440035.14054449263,3264760.8590573203,91.46817
6,25,440122.45170818863,3264760.8590573203,89.37213
6,26,440209.7628718846,3264760.8590573203,86.75651
6,27,440297.0740355806,3264760.8590573203,105.41888
6,28,440384.3851992766,3264760.8590573203,145.0365
6,29,440471.6963629726,3264760.8590573203,166.53917
6,30,440559.0075266686,3264760.8590573203,-3.402823e+38
6,31,440646.3186903646,3264760.8590573203,-3.402823e+38
6,32,440733.6298540606,3264760.8590573203,-3.402823e+38
6,33,440820.9410177566,3264760.8590573203,-3.402823e+38
6,34,440908.2521814526,3264760.8590573203,-3.402823e+38
6,35,440995.5633451486,3264760.8590573203,-3.402823e+38
6,36,441082.8745088446,3264760.8590573203,-3.402823e+38
6,37,441170.18567254057,3264760.8590573203,121.960045
6,38,441257.49683623656,3264760.8590573203,127.53173
6,39,441344.80799993256,3264760.8590573203,94.698975
6,40,441432.11916362855,3264760.8590573203,-3.402823e+38
6,41,441519.43032732455,3264760.8590573203,-3.402823e+38
6,42,441606.74149102054,3264760.8590573203,93.26259
6,43,441694.05265471654,3264760.8590573203,95.35726
6,44,441781.36381841253,3264760.8590573203,89.48114
6,45,441868.6749821085,3264760.8590573203,98.72584
6,46,441955.9861458045,3264760.8590573203,107.01599
6,47,442043.2973095005,3264760.8590573203,67.121864
6,48,442130.6084731965,3264760.8590573203,98.41584
6,49,442217.9196368925,3264760.8590573203,111.76514
6,50,442305.2308005885,3264760.8590573203,118.976364
6,51,442392.5419642845,3264760.8590573203,197.24113
6,52,442479.8531279805,3264760.8590573203,146.02493
6,53,442567.1642916765,3264760.8590573203,85.33803
6,54,442654.4754553725,3264760.8590573203,118.20435
6,55,442741.7866190685,3264760.8590573203,129.54703
6,56,442829.09778276447,3264760.8590573203,122.75989
6,57,442916.40894646046,3264760.8590573203,128.10468
6,58,443003.72011015646,3264760.8590573203,114.93191
6,59,443091.03127385245,3264760.8590573203,124.1348
6,60,443178.34243754845,3264760.8590573203,142.46387
6,61,443265.65360124444,3264760.8590573203,129.58841
6,62,443352.96476494044,3264760.8590573203,102.31991
